169.1.3.141	r2---sn-54gpivnu15-q0ge.googlevideo.com
74.125.8.24	r2---sn-5hne6n7l.googlevideo.com
179.124.5.237	r2---sn-5qaapo3-wqve.googlevideo.com
46.42.80.13	r2---sn-8p85-c5il.googlevideo.com
77.106.196.205	r2---sn-8ph2xajvh-3xwl.googlevideo.com
76.75.38.141	r2---sn-8pnpvooxu-bu4e.googlevideo.com
181.176.244.77	r2---sn-8pxuuxa2xg0-aphl.googlevideo.com
183.182.97.141	r2---sn-8pxuuxaa5vn-8uxe.googlevideo.com
113.171.246.205	r2---sn-8qj-i5oek.googlevideo.com
113.171.198.173	r2---sn-8qj-i5osy.googlevideo.com
113.171.239.205	r2---sn-8qj-nboer.googlevideo.com
113.171.243.205	r2---sn-8qj-nboez.googlevideo.com
217.130.6.77	r2---sn-8vq54voxn25po-cjok.googlevideo.com
83.224.68.77	r2---sn-8vq54voxpu-hm2l.googlevideo.com
65.206.58.141	r2---sn-8xgp1vo-ab5s.googlevideo.com
63.88.73.13	r2---sn-8xgp1vo-p5qe.googlevideo.com
74.125.170.88	r2---sn-a5meknek.googlevideo.com
203.233.10.205	r2---sn-ab02a0nfpgxapox-bh2k.googlevideo.com
173.194.185.231	r2---sn-ab5l6ndy.a1.googlevideo.com
74.125.0.8	r2---sn-ab5l6nsy.googlevideo.com
173.194.31.72	r2---sn-ab5szn7z.googlevideo.com
45.6.95.205	r2---sn-avj5aapo3cg-gxje.googlevideo.com
31.133.40.45	r2---sn-ax8xahn3-gv8e.googlevideo.com
193.206.135.13	r2---sn-b5gg-ca9e.googlevideo.com
177.135.103.141	r2---sn-b8u-2v5l.googlevideo.com
203.177.59.205	r2---sn-bavcx-hoaee.googlevideo.com
209.85.224.71	r2---sn-bg0ezn7e.googlevideo.com
208.117.236.21	r2---sn-bvvbax-3uhs.googlevideo.com
208.117.225.21	r2---sn-bvvbax-qxose.googlevideo.com
182.79.194.77	r2---sn-ci5gup-cive.googlevideo.com
182.79.138.205	r2---sn-ci5gup-cvhk.googlevideo.com
182.79.174.77	r2---sn-ci5gup-qxak.googlevideo.com
81.130.106.205	r2---sn-cu-ba5l.googlevideo.com
176.222.164.141	r2---sn-cxxapox31-53ml.googlevideo.com
58.27.225.13	r2---sn-f5uxxo23-aixe.googlevideo.com
45.226.82.13	r2---sn-fnncg-jfce.googlevideo.com
24.96.139.13	r2---sn-fvf-5bne.googlevideo.com
96.27.183.237	r2---sn-fvf-jhil.googlevideo.com
207.172.193.141	r2---sn-gjo-2ias.googlevideo.com
200.131.47.13	r2---sn-go2-ci1e.googlevideo.com
209.148.198.205	r2---sn-gvbxgn-tvve.googlevideo.com
176.221.96.13	r2---sn-h0auphxqp5-f5fl.googlevideo.com
